judge_a,judge_b,dimension,pearson_r,n
deepseek-deepseek-v3-2,google-gemini-3-6-flash,varme,0.602,11518
deepseek-deepseek-v3-2,google-gemini-3-6-flash,kompetence_tilskrivning,0.789,11518
deepseek-deepseek-v3-2,google-gemini-3-6-flash,mistaenkeliggoerelse,0.124,11518
deepseek-deepseek-v3-2,google-gemini-3-6-flash,nedladenhed,0.196,11518
deepseek-deepseek-v3-2,google-gemini-3-6-flash,stereotyp_generalisering,0.067,11518
deepseek-deepseek-v3-2,google-gemini-3-6-flash,moralisering,0.274,11518
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,varme,0.53,11518
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,kompetence_tilskrivning,0.796,11518
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,mistaenkeliggoerelse,0.197,11518
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,nedladenhed,0.499,11518
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,stereotyp_generalisering,0.529,11518
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,moralisering,0.224,11518
google-gemini-3-6-flash,openai-gpt-5-6-terra,varme,0.637,11518
google-gemini-3-6-flash,openai-gpt-5-6-terra,kompetence_tilskrivning,0.966,11518
google-gemini-3-6-flash,openai-gpt-5-6-terra,mistaenkeliggoerelse,0.639,11518
google-gemini-3-6-flash,openai-gpt-5-6-terra,nedladenhed,0.362,11518
google-gemini-3-6-flash,openai-gpt-5-6-terra,stereotyp_generalisering,0.259,11518
google-gemini-3-6-flash,openai-gpt-5-6-terra,moralisering,0.267,11518
deepseek-deepseek-v3-2,google-gemini-3-6-flash,testmistanke,0.305,9728
deepseek-deepseek-v3-2,google-gemini-3-6-flash,demografi_omtale,0.124,9728
deepseek-deepseek-v3-2,google-gemini-3-6-flash,stereotyp_brug,0.159,9728
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,testmistanke,0.302,9728
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,demografi_omtale,0.16,9728
deepseek-deepseek-v3-2,openai-gpt-5-6-terra,stereotyp_brug,0.218,9728
google-gemini-3-6-flash,openai-gpt-5-6-terra,testmistanke,0.212,9728
google-gemini-3-6-flash,openai-gpt-5-6-terra,demografi_omtale,0.505,9728
google-gemini-3-6-flash,openai-gpt-5-6-terra,stereotyp_brug,0.125,9728
